hour,trip_duration
0,936.6573016826923
1,903.0871120790231
2,890.0769340769341
3,890.0708782005264
4,921.976443768997
5,822.2989601386482
6,797.4349434552454
7,831.758345323741
8,924.5591994392496
9,933.5289153599456
10,933.3676054831365
11,966.4302821426485
12,993.5330791813337
13,1032.2463587648483
14,1075.789263985355
15,1118.8325326203505
16,1080.1462845769906
17,1030.581619444844
18,981.583233995585
19,894.3566793639544
20,879.4615448663051
21,890.5212211201521
22,1023.4559210853253
23,925.0914093286523
